Date,PNC,PPG,EQT,Unemployment,Med Home
2000-02-01,-3.769676521075005,-13.250998586513917,-2.002492712402071,0.0,-0.6270316532418163
2000-03-01,-2.2069346031966086,-4.6951251756565,17.302942006620302,-7.843137254901955,0.06432819562274261
2000-04-01,11.113336292215713,8.827047683035305,11.776061732840425,-19.14893617021277,0.9408380801260163
2000-05-01,-0.5339246113319929,1.9063029546930954,7.032761550063582,13.157894736842103,1.3276619426924485
2000-06-01,16.687650569291847,-14.63116503556533,2.1862792981130807,6.976744186046502,1.1247295239497968
2000-07-01,-2.568383708017441,-6.125435856714789,0.3364199969572601,0.0,1.334927019129939
2000-08-01,12.969796327694304,-2.3348622514183015,15.621698251320826,0.0,0.6719451651337804
2000-09-01,5.679582920406023,-7.93012080780059,6.769725402964766,-10.869565217391308,0.5909418504203012
2000-10-01,4.619069763978323,2.42378722231984,2.3709176500717355,-4.8780487804877986,-0.016693283314062057
2000-11-01,3.507967950926205,10.647899845598285,-5.528301599556618,10.256410256410264,-0.10974835645135572
2000-12-01,6.441035869021139,0.8046464661266572,4.0656019566526425,-4.651162790697683,-0.2621850737458131
2001-01-01,5.015968393612558,4.575537031722732,-2.743573377747266,29.268292682926834,-0.15480105445654369
2001-02-01,-0.16126765887098937,9.072107096914927,2.38777289740586,-3.7735849056603765,-0.5298599947918259
2001-03-01,-9.592081540706188,2.051284982919621,7.549167278113611,0.0,0.04084048153589759
2001-04-01,2.26171922448255,0.4289266876049691,17.356136965818415,-15.686274509803921,1.1121855119419433
2001-05-01,-0.18919562255185207,11.587524099933223,2.457462325560811,6.976744186046502,1.091815956363651
2001-06-01,2.7078007098648493,-5.124794830096613,-10.95412887320143,6.521739130434789,1.3576494862492572
2001-07-01,-5.690489904317331,-0.2500058434071195,-1.717699214009638,-2.0408163265306256,1.4774101510821813
2001-08-01,6.077897554673672,2.4673811722165206,-0.8142615766299488,2.083333333333348,0.8338085585876565
2001-09-01,-14.388994639781583,-13.539420139069424,-11.060743875792268,-10.204081632653061,0.5319556489969068
2001-10-01,-2.7365562690138345,4.181985141088318,8.528204258344285,6.818181818181812,0.09251713751754487
2001-11-01,2.9015229623769567,9.623157253034865,2.9272880091997466,8.51063829787233,-0.14165311215512677
2001-12-01,-1.1530079790193604,-2.1351274710634804,-0.7944214032171049,0.0,-0.3333611143986337
2002-01-01,6.532494521286547,-5.545123844591393,-5.542239235629365,27.450980392156875,-0.2963390848460423
2002-02-01,-7.242546325067501,0.009383290119924226,1.2825311144870621,-3.076923076923077,-0.5326603520357742
2002-03-01,7.901138919501771,11.848978568268143,10.624487659108928,-3.1746031746031744,0.16019158006008727
2002-04-01,-2.427277682381035,-1.5804065323919092,5.205797704322834,-11.475409836065564,0.9288681766256746
2002-05-01,-4.254292838609242,5.874246462206667,0.8624026465703372,0.0,1.2136309670128576
2002-06-01,-3.9142064864680526,3.2734292710129287,-3.866063381824736,5.555555555555558,1.0034011095148232
2002-07-01,-16.22553244216264,-1.5284620185480713,-6.798280307857951,-1.7543859649122862,1.562328272411495
2002-08-01,-0.4744638700870163,0.027324022248076396,8.051399058018372,-3.5714285714285587,1.3736950504727563
2002-09-01,-0.42159540992787736,-10.241437769549744,-0.3393394522895665,-9.259259259259256,0.2339663945816417
2002-10-01,-9.212604703184535,-7.047479755103437,-1.0428122127489559,4.081632653061207,0.11167784819099413
2002-11-01,3.871831491158839,2.4726477598831176,3.0076007087355805,7.843137254901977,-0.31061749868075417
2002-12-01,1.1930950339342772,1.8955471411008729,1.0563685863519856,3.6363636363636376,-0.6331553645696597
2003-01-01,8.092256181912184,3.84581095584835,0.6318398712475748,19.298245614035082,0.08016178333187796
2003-02-01,-1.4063293795596454,-6.007972480097412,0.46352089419383624,0.0,-0.9662985934296264
2003-03-01,0.6152876759836445,-3.451695354853812,2.4279737122645972,-7.352941176470584,-0.34167988104998326
2003-04-01,-0.03591811271522749,1.8152562420135299,2.9869903149010613,-11.111111111111116,1.2810642047322407
2003-05-01,6.448034594793284,3.8858881331598205,2.3891124719800816,3.571428571428581,1.7991779356592241
2003-06-01,5.53363735863337,5.412579903870207,6.166350996917913,8.62068965517242,2.0414218775326676
2003-07-01,0.8503434862700665,3.0189519156494926,-2.3411714448574483,-3.1746031746031744,1.4482833827469621
2003-08-01,-1.4967618605062682,6.022254334213661,-1.82944660196388,-6.5573770491803245,0.5903694798188974
2003-09-01,0.22424922465626995,-1.2535213788493205,3.2623543491671736,-7.017543859649134,0.043001456298452645
2003-10-01,5.875752886011942,2.4271217973365067,2.430789390114585,-1.8867924528301772,-0.0626812330441262
2003-11-01,7.280307080273007,5.081655832978194,-0.236103896208939,3.8461538461538547,-1.0192776492763067
2003-12-01,-0.7574248103292325,8.142800213175615,4.6104394775569935,-3.703703703703709,-0.2968504260280391
2004-01-01,2.620647942622334,-1.5678265932940638,1.7297767433731348,25.0,-0.6828542303905394
2004-02-01,4.235114058924894,-3.8847619577225823,1.0871706907421563,-1.538461538461533,-0.3130293373240778
2004-03-01,-0.11280029534223024,-2.4508552321446553,-1.1423739517315235,-1.562500000000011,0.25842977318131233
2004-04-01,-5.943341988204076,5.7291163709382475,6.658515589997083,-17.460317460317455,0.43466529832987266
2004-05-01,2.374232880931526,-3.164031993471794,2.9900681867745194,3.8461538461538547,1.5607005273050145
2004-06-01,-0.3442207999126312,4.840519900570994,5.157580263946926,9.259259259259256,1.6901767301946702
2004-07-01,-4.49944855179033,-1.92713983088173,3.5132990394165065,-1.6949152542372947,1.2304025285809317
